version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,Team,starter_v0/artifacts/system_prompt.md,v0+pfbd983373148+t0eacc600c09d,fbd983373148f501fc5862c14f2a18e80028e6a04ddd3152189e4f9e773942cd,0eacc600c09d209dcee28511bf155e6e4f5291eac475b4282ffed70440c73c31,Starter baseline,Initial baseline evaluation with default system prompt,case_accuracy,0.0,0.8500,runs/v0_B_base_deepseek_20260729T152200316012.json
v1,Team,starter_v0/tools/job_search,v1+pfbd983373148+t0eacc600c09d,fbd983373148f501fc5862c14f2a18e80028e6a04ddd3152189e4f9e773942cd,0eacc600c09d209dcee28511bf155e6e4f5291eac475b4282ffed70440c73c31,Add JSearch job_search tool,Replacing Twitter API with JSearch endpoint improves job search capability,case_accuracy,0.7500,0.8500,runs/v1_B_base_deepseek_20260729T152411182539.json
v2,Team,starter_v0/artifacts/system_prompt.md,v2+p181098db32e0+tf44a79f57ab3,181098db32e012a216d2e62e9144a08c37fc5a764c7ba53e54f080f074c6229b,f44a79f57ab3dc46acdbf1b8ffc4b40ad874b11a71b85b11b50dfb99abde2c73,Fix clarify boundary & job_search args,Refining clarify response_type rules eliminates wrong_boundary failure on R12,case_accuracy,0.8500,1.0000,runs/v2_B_base_deepseek_20260729T155045480437.json
v3,Team,starter_v0/tools/job_details,v3+pc175c0a5c178+t8023f4f1e333,c175c0a5c1783197cc6ab2d89a32b7b7d5957e9b92139dc445d0577da7c514d6,8023f4f1e333e2ce6059547737f0fdae61c922617aad9dc907b349381e2a7c12,Add job_details & team eval_group.json,Adding job_details endpoint and 10 group test cases for recruitment workflows,case_accuracy,0.7000,1.0000,runs/v3_B_group_deepseek_20260729T160335973619.json
